Species,Dataset,File Name,Tetracycline,Gentamicin,clusters
Escherichia coli,PATRIC_e.coli,1045010.61.fna,S,S,756
Escherichia coli,PATRIC_e.coli,1045010.62.fna,R,S,756
Escherichia coli,PATRIC_e.coli,1045010.63.fna,S,S,756
Escherichia coli,PATRIC_e.coli,1045010.64.fna,R,S,873
Escherichia coli,PATRIC_e.coli,1328432.3.fna,N/A,S,1665
Escherichia coli,PATRIC_e.coli,1328433.3.fna,N/A,S,27
Escherichia coli,PATRIC_e.coli,1328434.3.fna,N/A,S,639
Escherichia coli,PATRIC_e.coli,1328440.3.fna,S,N/A,1588
Escherichia coli,PATRIC_e.coli,1328442.3.fna,S,N/A,1588
Escherichia coli,PATRIC_e.coli,1438684.3.fna,N/A,R,27
Escherichia coli,PATRIC_e.coli,1438685.3.fna,N/A,R,707
Escherichia coli,PATRIC_e.coli,1438686.3.fna,N/A,S,1479
Escherichia coli,PATRIC_e.coli,562.11346.fna,R,S,1850
Escherichia coli,PATRIC_e.coli,562.11347.fna,R,S,1358
Escherichia coli,PATRIC_e.coli,562.11349.fna,R,S,237
Escherichia coli,PATRIC_e.coli,562.11557.fna,R,S,1810
Escherichia coli,PATRIC_e.coli,562.12959.fna,R,S,27
Escherichia coli,PATRIC_e.coli,562.12960.fna,S,R,1220
Escherichia coli,PATRIC_e.coli,562.12961.fna,N/A,R,165
Escherichia coli,PATRIC_e.coli,562.12962.fna,N/A,S,1689
Escherichia coli,PATRIC_e.coli,562.13502.fna,R,R,1598
Escherichia coli,PATRIC_e.coli,562.13671.fna,R,R,1372
Escherichia coli,PATRIC_e.coli,562.16324.fna,S,R,590
Escherichia coli,PATRIC_e.coli,562.16325.fna,R,R,604
Escherichia coli,PATRIC_e.coli,562.16326.fna,R,S,872
Escherichia coli,PATRIC_e.coli,562.16327.fna,R,S,27
Escherichia coli,PATRIC_e.coli,562.16466.fna,R,R,1718
Escherichia coli,PATRIC_e.coli,562.17359.fna,N/A,S,27
Escherichia coli,PATRIC_e.coli,562.17620.fna,S,S,474
Escherichia coli,PATRIC_e.coli,562.17621.fna,R,S,446
Escherichia coli,PATRIC_e.coli,562.17721.fna,R,R,1262
Escherichia coli,PATRIC_e.coli,562.17722.fna,R,R,768
Escherichia coli,PATRIC_e.coli,562.19151.fna,S,S,573
Escherichia coli,PATRIC_e.coli,562.19184.fna,S,N/A,18
Escherichia coli,PATRIC_e.coli,562.19185.fna,S,N/A,18
Escherichia coli,PATRIC_e.coli,562.19186.fna,S,N/A,1811
Escherichia coli,PATRIC_e.coli,562.19189.fna,S,N/A,18
Escherichia coli,PATRIC_e.coli,562.19631.fna,R,S,446
Escherichia coli,PATRIC_e.coli,562.19632.fna,R,R,27
Escherichia coli,PATRIC_e.coli,562.19633.fna,S,R,461
Escherichia coli,PATRIC_e.coli,562.19821.fna,S,S,446
Escherichia coli,PATRIC_e.coli,562.19823.fna,R,R,590
Escherichia coli,PATRIC_e.coli,562.20499.fna,R,S,1463
Escherichia coli,PATRIC_e.coli,562.22426.fna,R,S,1463
Escherichia coli,PATRIC_e.coli,562.22428.fna,N/A,S,455
Escherichia coli,PATRIC_e.coli,562.22429.fna,N/A,S,535
Escherichia coli,PATRIC_e.coli,562.22430.fna,N/A,S,171
Escherichia coli,PATRIC_e.coli,562.22431.fna,N/A,S,609
Escherichia coli,PATRIC_e.coli,562.22432.fna,N/A,S,27
Escherichia coli,PATRIC_e.coli,562.22433.fna,N/A,S,10
Escherichia coli,PATRIC_e.coli,562.22434.fna,N/A,S,650
Escherichia coli,PATRIC_e.coli,562.22435.fna,N/A,S,1036
Escherichia coli,PATRIC_e.coli,562.22436.fna,N/A,S,1007
Escherichia coli,PATRIC_e.coli,562.22437.fna,N/A,S,1636
Escherichia coli,PATRIC_e.coli,562.22438.fna,N/A,S,171
Escherichia coli,PATRIC_e.coli,562.22439.fna,N/A,S,649
Escherichia coli,PATRIC_e.coli,562.22440.fna,N/A,S,27
Escherichia coli,PATRIC_e.coli,562.22441.fna,N/A,S,212
Escherichia coli,PATRIC_e.coli,562.22442.fna,N/A,S,27
Escherichia coli,PATRIC_e.coli,562.22443.fna,N/A,S,8
Escherichia coli,PATRIC_e.coli,562.22444.fna,N/A,S,1731
Escherichia coli,PATRIC_e.coli,562.22445.fna,N/A,R,355
Escherichia coli,PATRIC_e.coli,562.22446.fna,N/A,S,383
Escherichia coli,PATRIC_e.coli,562.22447.fna,N/A,S,10
Escherichia coli,PATRIC_e.coli,562.22448.fna,N/A,S,963
Escherichia coli,PATRIC_e.coli,562.22449.fna,N/A,S,20
Escherichia coli,PATRIC_e.coli,562.22450.fna,N/A,S,235
Escherichia coli,PATRIC_e.coli,562.22451.fna,N/A,S,10
Escherichia coli,PATRIC_e.coli,562.22452.fna,N/A,S,1844
Escherichia coli,PATRIC_e.coli,562.22453.fna,N/A,S,1792
Escherichia coli,PATRIC_e.coli,562.22454.fna,N/A,S,348
Escherichia coli,PATRIC_e.coli,562.22455.fna,N/A,R,1410
Escherichia coli,PATRIC_e.coli,562.22457.fna,N/A,S,677
Escherichia coli,PATRIC_e.coli,562.22458.fna,N/A,S,1002
Escherichia coli,PATRIC_e.coli,562.22459.fna,N/A,S,560
Escherichia coli,PATRIC_e.coli,562.22460.fna,N/A,S,208
Escherichia coli,PATRIC_e.coli,562.22461.fna,N/A,S,1284
Escherichia coli,PATRIC_e.coli,562.22462.fna,N/A,S,124
Escherichia coli,PATRIC_e.coli,562.22463.fna,N/A,S,1056
Escherichia coli,PATRIC_e.coli,562.22464.fna,N/A,S,1380
Escherichia coli,PATRIC_e.coli,562.22465.fna,N/A,R,27
Escherichia coli,PATRIC_e.coli,562.22466.fna,N/A,S,766
Escherichia coli,PATRIC_e.coli,562.22467.fna,N/A,S,86
Escherichia coli,PATRIC_e.coli,562.22468.fna,N/A,S,260
Escherichia coli,PATRIC_e.coli,562.22469.fna,N/A,S,212
Escherichia coli,PATRIC_e.coli,562.22470.fna,N/A,S,1724
Escherichia coli,PATRIC_e.coli,562.22471.fna,N/A,S,1853
Escherichia coli,PATRIC_e.coli,562.22472.fna,N/A,S,212
Escherichia coli,PATRIC_e.coli,562.22473.fna,N/A,S,101
Escherichia coli,PATRIC_e.coli,562.22474.fna,N/A,S,584
Escherichia coli,PATRIC_e.coli,562.22476.fna,N/A,R,1061
Escherichia coli,PATRIC_e.coli,562.22477.fna,N/A,S,1782
Escherichia coli,PATRIC_e.coli,562.22478.fna,N/A,S,27
Escherichia coli,PATRIC_e.coli,562.22479.fna,N/A,S,219
Escherichia coli,PATRIC_e.coli,562.22480.fna,N/A,S,1715
Escherichia coli,PATRIC_e.coli,562.22481.fna,N/A,S,1589
Escherichia coli,PATRIC_e.coli,562.22482.fna,N/A,S,93
Escherichia coli,PATRIC_e.coli,562.22483.fna,N/A,S,219
Escherichia coli,PATRIC_e.coli,562.22484.fna,N/A,S,119
Escherichia coli,PATRIC_e.coli,562.22485.fna,N/A,S,1395
Escherichia coli,PATRIC_e.coli,562.22486.fna,N/A,S,351
Escherichia coli,PATRIC_e.coli,562.22487.fna,N/A,S,71
Escherichia coli,PATRIC_e.coli,562.22488.fna,N/A,S,206
Escherichia coli,PATRIC_e.coli,562.22489.fna,N/A,S,841
Escherichia coli,PATRIC_e.coli,562.22490.fna,N/A,S,344
Escherichia coli,PATRIC_e.coli,562.22491.fna,N/A,S,27
Escherichia coli,PATRIC_e.coli,562.22492.fna,N/A,S,8
Escherichia coli,PATRIC_e.coli,562.22493.fna,N/A,S,1651
Escherichia coli,PATRIC_e.coli,562.22494.fna,N/A,S,368
Escherichia coli,PATRIC_e.coli,562.22495.fna,N/A,S,1214
Escherichia coli,PATRIC_e.coli,562.22496.fna,N/A,S,944
Escherichia coli,PATRIC_e.coli,562.22497.fna,N/A,S,91
Escherichia coli,PATRIC_e.coli,562.22498.fna,N/A,S,813
Escherichia coli,PATRIC_e.coli,562.22499.fna,N/A,R,27
Escherichia coli,PATRIC_e.coli,562.22500.fna,N/A,S,8
Escherichia coli,PATRIC_e.coli,562.22501.fna,N/A,S,1645
Escherichia coli,PATRIC_e.coli,562.22502.fna,N/A,S,1071
Escherichia coli,PATRIC_e.coli,562.22503.fna,N/A,R,1015
Escherichia coli,PATRIC_e.coli,562.22504.fna,N/A,S,161
