Species,Dataset,File Name,Tetracycline,Gentamicin,clusters
Staphylococcus aureus,PRJNA633996,10A467.fna,S,S,75
Staphylococcus aureus,PRJNA633996,10A468.fna,I,S,75
Staphylococcus aureus,PRJNA633996,10A554.fna,S,S,75
Staphylococcus aureus,PRJNA633996,10A584.fna,S,S,252
Staphylococcus aureus,PRJNA633996,10A605.fna,I,S,75
Staphylococcus aureus,PRJNA633996,10A611.fna,S,S,258
Staphylococcus aureus,PRJNA633996,10A674.fna,S,S,258
Staphylococcus aureus,PRJNA633996,11A1123.fna,S,S,1252
Staphylococcus aureus,PRJNA633996,11A1127.fna,S,S,1252
Staphylococcus aureus,PRJNA633996,11A1151.fna,S,S,258
Staphylococcus aureus,PRJNA633996,11A1165.fna,S,S,13
Staphylococcus aureus,PRJNA633996,11A123.fna,R,I,72
Staphylococcus aureus,PRJNA633996,11A1450.fna,I,S,75
Staphylococcus aureus,PRJNA633996,11A1502.fna,S,S,13
Staphylococcus aureus,PRJNA633996,11A1505.fna,R,S,374
Staphylococcus aureus,PRJNA633996,11A1543.fna,I,S,75
Staphylococcus aureus,PRJNA633996,11A223.fna,S,R,75
Staphylococcus aureus,PRJNA633996,11A265.fna,S,S,75
Staphylococcus aureus,PRJNA633996,11A266.fna,S,S,75
Staphylococcus aureus,PRJNA633996,11A356.fna,I,S,288
Staphylococcus aureus,PRJNA633996,11A660.fna,S,S,2
Staphylococcus aureus,PRJNA633996,11A731.fna,S,S,75
Staphylococcus aureus,PRJNA633996,11A746.fna,I,S,75
Staphylococcus aureus,PRJNA633996,11A819.fna,S,S,443
Staphylococcus aureus,PRJNA633996,11A832.fna,S,S,75
Staphylococcus aureus,PRJNA633996,11A871.fna,I,S,75
Staphylococcus aureus,PRJNA633996,11A914.fna,I,S,75
Staphylococcus aureus,PRJNA633996,11A934.fna,I,S,75
Staphylococcus aureus,PRJNA633996,11A941.fna,R,S,75
Staphylococcus aureus,PRJNA633996,11A943.fna,S,S,75
Staphylococcus aureus,PRJNA633996,11A96.fna,S,S,13
Staphylococcus aureus,PRJNA633996,11A967.fna,I,S,75
Staphylococcus aureus,PRJNA633996,18A100.fna,S,S,258
Staphylococcus aureus,PRJNA633996,18A123.fna,S,S,75
Staphylococcus aureus,PRJNA633996,18A125.fna,S,S,2
Staphylococcus aureus,PRJNA633996,18A140.fna,S,S,13
